date,travel.state.gov,ustraveldocs,ds 160,ds-160,ds160
2004-04-27,27.84,0.0,0.0,0.0,0.0
2004-04-28,9.6,0.0,0.0,0.0,0.0
2004-04-29,29.44,0.0,0.0,0.0,0.0
2004-04-30,10.56,0.0,0.0,0.0,0.0
2004-05-01,18.25,0.0,0.0,0.0,0.0
2004-05-02,0.0,0.0,0.0,0.0,0.0
2004-05-03,11.5,0.0,0.0,0.0,0.0
2004-05-04,16.25,0.0,0.0,0.0,0.0
2004-05-05,21.75,0.0,0.0,0.0,0.0
2004-05-06,10.75,0.0,0.0,0.0,0.0
2004-05-07,23.75,0.0,0.0,0.0,0.0
2004-05-08,0.0,0.0,0.0,0.0,0.0
2004-05-09,17.0,0.0,0.0,0.0,0.0
2004-05-10,16.0,0.0,0.0,0.0,0.43
2004-05-11,10.25,0.0,0.0,0.0,0.0
2004-05-12,20.25,0.0,0.0,0.0,0.0
2004-05-13,10.25,0.0,0.0,0.0,0.0
2004-05-14,11.5,0.0,0.0,0.0,0.0
2004-05-15,18.0,0.0,0.0,0.0,0.0
2004-05-16,0.0,0.0,0.0,0.0,0.0
2004-05-17,15.5,0.0,0.0,0.0,0.0
2004-05-18,15.5,0.0,0.0,0.0,0.0
2004-05-19,10.75,0.0,0.0,0.0,0.0
2004-05-20,11.75,0.0,0.0,0.0,0.0
2004-05-21,11.75,0.0,0.0,0.0,0.0
2004-05-22,0.0,0.0,0.0,0.0,0.0
2004-05-23,17.25,0.0,0.0,0.0,0.0
2004-05-24,17.25,0.0,0.0,0.0,0.0
2004-05-25,20.5,0.0,0.0,0.0,0.0
2004-05-26,21.0,0.0,0.0,0.0,0.42
2004-05-27,10.75,0.0,0.0,0.0,0.0
2004-05-28,11.75,0.0,0.0,0.0,0.48
2004-05-29,25.0,0.0,0.0,0.0,0.0
2004-05-30,18.75,0.0,0.0,0.0,0.0
2004-05-31,0.0,0.0,0.0,0.0,0.0
2004-06-01,18.72,0.0,0.0,0.0,0.0
2004-06-02,14.16,0.0,0.0,0.0,0.0
2004-06-03,9.6,0.0,0.0,0.0,0.0
2004-06-04,10.32,0.0,0.0,0.0,0.0
2004-06-05,15.6,0.0,0.0,0.0,0.0
2004-06-06,15.6,0.0,0.0,0.0,0.0
2004-06-07,18.72,0.0,0.0,0.0,0.0
